Comment,Task 1 A,Task 1 B,
"For information regarding public services to be updated quickly and consistently. To make information simple and digestible for the average resident in multiple languages. And for information to be more accessible, especially regarding elections, community input, and relevant city services.",Public,Govt Data,
Improve and fund public transportation to allow people to access the city they live in,Public,Mobility,
more access to info like mutual aid and having a connected public transport system,Public,Mobility,
Greater access to transportation and more solar friendly,Mobility,Enviro,
"Create a ""NYC time square"" like location downtown where you can display all public service data/stats/information on a huge screen, then sell advertising space on the screen to fund the ""time square"" creation. ",Public,Util,
"Improve mobility and equitable distribution of resources
Automate as much as you can so that more time can be spent mindfully living",Mobility,Connect,
"I would like to see interactive web dashboards related to public health, transportation data, housing,  crime, etc. City dwellers should be enabled and empowered to make informed decisions with data that is collected by the city. ",Govt Data,Edu,
"I'd like to see VIA actually show up on time. I'd also like to see that every bus stop has some sort of shelter so people can wait in the shade instead of this terrible heat. Also, the roads are terrible. Maybe some sort of predictive model can be used to determine which roads in the city are the oldest and some preventative maintenance can be performed.",Mobility,Public,
"I would like technology to be used to make San Antonio a better place to live, especially for those living in poverty",IOT,Cyber,
More transparency,Edu,Govt Data,
Technology can be used to provide unbiased and in depth information regardless current issues in the city. It can also be used to help those with disabilities become more independent.,IOT,Edu,
Sensors on pubic assets and infrastructure to alert to when repairs and service interruption occurs.,IOT,Public,
Used in a non complicated way for those less fortunate or unable to get the technology services needed. Mentorship-tutorÕs. ,Edu,Connect,
Access to real-time data to make decisions...,Govt Data,Edu,
Ease of access ,Edu,IOT,
Better apps,IOT,Connect,
Easier to access information ,IOT,Govt Data,
It all comes down to adequately staffing technological resources,IOT,Edu,
"No opinion.  This is a very low priority for me.  I just want less bike lanes taking up room on city streets, lower taxes, and less homeless people of street corners (for reasons or property values and public safety).",Mobility,Public,
"Virtual meetings w city officials and policy makers, free Wi-Fi for low income families",Public,Connect,
"More efficient and effective use of resources - traffic patterns, energy usage, improve procedures",Edu,Cyber,
Focus on the basics. Make city services more efficient ,Public,Util,
I would like the internet/wifi to be consistently faster. There are certain times when it gets slower at almost the same time everyday. ,IOT,Cyber,
Cut costs ,Other,Other,
Continued information from City Councilman Courage,Public,Govt Data,
Provide an app to monitor water and energy consumption in our homes. ,Public,Util,
Easy access and safety ,Public,Cyber,
Online voting for registered voters who are disabled or elderly.,Connect,IOT,
reporting crimes,Cyber,Public,
Greater connectivity for all. Wi-Fi services throughout the community that are free. ,Edu,Cyber,
Identifying needs/gaps in services; tracking improvements and progress;  closing education gaps ,Edu,Govt Data,
Entertainment and safety,Connect,Cyber,
Better public trans. Easier access to public services. ,Public,Mobility,
Use technology to create a more hygienic environment ,Enviro,IOT,
"Having fast free Wi-Fi in the city and surrounding areas (areas planned for annexation) to allow us to connect to services and the community.  Apps that will show when buses and trains are coming, yes trains we need transportation from north to downtown, river walk and Austin",Connect,IOT,
cool concrete technology to reduce heat,IOT,Edu,
Better sensors at heavy light traffic intersections. Better and/or adding street lighting for older existing neighborhoods. Use of cameras in the street for vigilance in high crime areas. ,Public,Mobility,
Public services and internet are great but the elderly still lack the tools and resources in low income areas to use these tools,Edu,Connect,
"More responsive, user-friendly systems ",Edu,Connect,
I love that this year so many fitness opportunities have been available and posted online. Please allow more lap swimming at more of the pools in the downtown and south east side of town!,Public,Edu,
"I'd like public campaigns to destigmatize and push mass transit like a rail system. I'd like more public info campaigns about how individual choices can reduce carbon footprints. I'd like technology to be used to find the nearest recycling bin or trash bin so people wouldn't throw their rubbish around. I'd like to use technology to really contribute how we can rethink our futures without a heavy reliance on fossil fuels, single-use plastics, and a shift away from individualism. ",Public,Mobility,
Safer and monitored public safety so that EMS can quickly respond in emergencies.  Solid emergency preparedness  for combined city and county safety.,Mobility,Util,
"Better communication between all city services and our COSA citizens. 

",Connect,Cyber,
To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.,Public,IOT,
More things online and easy to use. More robust high speed internet access and choices.,IOT,Connect,
AI & for there to be a central database for all City services so I can get updates & report issues & track progressÉwhen I want updates.,Govt Data,IOT,
Apps to help sign up for programs or locate certain services easier,IOT,Util,
"Improving service delivery
Extreme weather response ",Mobility,Public,
"Innovation, efficiency, transparency and accessibility",IOT,Edu,
"use machine learning to maximize energy efficiency, transit efficiency, and enhance sustainable economic development ",IOT,Util,
"Access to tech and public health resources; better public transport - cities are for human beings, not cars",Govt Data,Public,
"Installing public WiFi in heavily public-trafficked areas, providing technology for house less folks, create a safer and better public transit system.",IOT,Public,
Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic. ,Connect,IOT,
"*SAFE* public transportation, better roads, and affordable healthcare option ",Util,Public,
Safety,Edu,Cyber,
By making it accessible to all making affordable to all.,Other,Other,
"Stay on top of social media posts to inform the masses as well as an easy to navigate website to keep myself updated with whatÕs going on in the city. I think having a public tv channel that only has city information (voting rights/locations, exactly what weÕre voting on, who were voting for, development changes, issues in the city, etc) just keep us informed.",Edu,Edu,
Test,Other,Other,
Communication ,Connect,Other,
Making it affortable,Other,Other,
I would like our city to have more solar options.,Enviro,Util,
To make things more convenient ,Other,Other,
Free to all,Other,Other,
It can help look up transportation ,Mobility,Edu,
Well for starters to actually help police help the community a lot faster ,Edu,Edu,
Utilize tech to inform the public,IOT,Connect,
